1,1,"Двоичная система счисления","Сколько единиц в двоичной записи десятичного числа #N1?"
1,2,"Двоичная система счисления","Сколько нулей в двоичной записи десятичного числа #N1?"
1,3,"Сравнение чисел в различных системах счисления","Сколько существует натуральных чисел x, для которых выполнено неравенство #N1(2 cc) ≤ x ≤ #N2(8 ccc)? В ответе укажите только количество чисел, сами числа писать не нужно."
1,4,"Сравнение чисел в различных системах счисления","Сколько существует натуральных чисел x, для которых выполнено неравенство #N1(8 cc) ≤ x < #N2(16 cc)? В ответе укажите только количество чисел, сами числа писать не нужно."
1,5,"Сравнение чисел в различных системах счисления","Сколько существует натуральных чисел x, для которых выполнено неравенство #N1(2 сс) < x < #N2(2 сс))? В ответе укажите только количество чисел, сами числа писать не нужно."
1,6,"Арифметика","Вычислите значение выражения #N1(16 сс) − #N2(16 сс). В ответе запишите вычисленное значение в десятичной системе счисления."
1,7,"Арифметика","Вычислите значение выражения #N1(2 сс) − #N2(5 сс) + #N3(8 сс). В ответе запишите вычисленное значение в десятичной системе счисления."
2,1,"Таблицы истинности","Логическая функция F задаётся выражением #N1.
Дан частично заполненный фрагмент, содержащий неповторяющиеся строки таблицы истинности функции F.
Определите, какому столбцу таблицы истинности соответствует каждая из переменных x, y, z, w.

| #A00 | #A01 | #A02 | #A03 | #N2 |
| #A10 | #A11 | #A12 | #A13 | #N2 |
| #A20 | #A21 | #A22 | #A23 | #N2 |"
5,1,"Выбор кода","По каналу связи передаются сообщения, содержащие только четыре буквы: А, Б, В, Г; для передачи используется двоичный код, удовлетворяющий условию Фано. Для букв А, Б, В используются такие кодовые слова: А — 0; Б — 110; В — 100.
Укажите кратчайшее кодовое слово для буквы Г, при котором код будет допускать однозначное декодирование. Если таких кодов несколько, укажите код с наименьшим числовым значением."
9,1,"Кодирование и декодирование информации","Какой минимальный объём памяти (в Кбайт) нужно зарезервировать, чтобы можно было сохранить любое растровое изображение размером #N1×#N2 пикселей при условии, что в изображении могут использоваться #N3 различных цветов? В ответе запишите только целое число, единицу измерения писать не нужно."
9,2,"Кодирование и декодирование информации","Автоматическая фотокамера производит растровые изображения размером #N1×#N2 пикселей. При этом объём файла с изображением не может превышать #N3 Кбайт, упаковка данных не производится. Какое максимальное количество цветов можно использовать в палитре?"
9,3,"Кодирование и декодирование информации","Автоматическая фотокамера делает фотографии высокого разрешения с палитрой, содержащей 2^#N1 цветов. Средний размер фотографии составляет #N2 Мбайт. Для хранения в базе данных фотографии преобразуют в чёрно-белый формат с палитрой, содержащей #N3 цветов. Другие преобразования и дополнительные методы сжатия не используются. Сколько Мбайт составляет средний размер преобразованной фотографии?"
9,4,"Кодирование и декодирование информации","Музыкальный фрагмент был оцифрован и записан в виде файла без использования сжатия данных. Получившийся файл был передан в город А по каналу связи за #N1 секунд. Затем тот же музыкальный фрагмент был оцифрован повторно с разрешением в #N2 раза выше и частотой дискретизации в #N3 раза меньше, чем в первый раз. Сжатие данных не производилось. Полученный файл был передан в город Б; пропускная способность канала связи с городом Б в #N4 раза выше, чем канала связи с городом А. Сколько секунд длилась передача файла в город Б? В ответе запишите только целое число, единицу измерения писать не нужно."
